epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.972,1.37365,1.01377,1.28979,0.83752,0.76847,0.84067,0.4995,1.20903,0.80884,1.23524,0.00332925,0.00332925,0.0700367
2,448.517,1.27187,0.86814,1.22096,0.88639,0.81486,0.89144,0.54999,1.16189,0.73941,1.20195,0.00662961,0.00662961,0.0400037
3,659.768,1.22296,0.81714,1.19706,0.90744,0.82097,0.90402,0.56363,1.12525,0.71587,1.18457,0.00989696,0.00989696,0.00993776
4,870.55,1.19367,0.77928,1.17934,0.90952,0.83757,0.91909,0.58238,1.11025,0.69054,1.18042,0.0098515,0.0098515,0.0098515
5,1081.15,1.15917,0.7519,1.16581,0.90998,0.85486,0.92521,0.59215,1.09521,0.67694,1.17792,0.009802,0.009802,0.009802
6,1291.59,1.15486,0.73819,1.15713,0.91903,0.85709,0.92831,0.59561,1.09044,0.64276,1.17024,0.0097525,0.0097525,0.0097525
7,1502.04,1.14068,0.72435,1.15513,0.89869,0.87371,0.93092,0.60376,1.06889,0.65725,1.16106,0.009703,0.009703,0.009703
8,1712.75,1.1298,0.71646,1.1477,0.91974,0.87357,0.93835,0.61553,1.06123,0.6346,1.15839,0.0096535,0.0096535,0.0096535
9,1923.62,1.10992,0.70648,1.14416,0.92258,0.88156,0.94511,0.62113,1.05859,0.64659,1.16026,0.009604,0.009604,0.009604
10,2134.33,1.0984,0.69218,1.13787,0.9233,0.87418,0.94075,0.62178,1.03716,0.63403,1.14507,0.0095545,0.0095545,0.0095545
11,2344.68,1.0952,0.69202,1.1361,0.93111,0.88185,0.94447,0.6306,1.02633,0.62692,1.14204,0.009505,0.009505,0.009505
12,2555.61,1.08297,0.669,1.12891,0.93124,0.89238,0.95291,0.6394,1.01914,0.60996,1.14198,0.0094555,0.0094555,0.0094555
13,2766.18,1.07056,0.66791,1.12524,0.9291,0.8967,0.95316,0.64415,1.00912,0.59718,1.13583,0.009406,0.009406,0.009406
14,2976.97,1.06946,0.66024,1.117,0.93059,0.89817,0.95627,0.64832,0.99896,0.60279,1.13438,0.0093565,0.0093565,0.0093565
15,3187.77,1.0504,0.65021,1.10873,0.92794,0.90385,0.95523,0.64127,1.0024,0.59292,1.14086,0.009307,0.009307,0.009307
16,3398.72,1.05541,0.64932,1.117,0.9296,0.89599,0.95441,0.64802,1.00498,0.59432,1.13342,0.0092575,0.0092575,0.0092575
17,3609.56,1.04657,0.64687,1.11248,0.93393,0.88678,0.95405,0.64755,0.99583,0.59362,1.13066,0.009208,0.009208,0.009208
18,3820.26,1.03706,0.64054,1.10842,0.93622,0.90085,0.95716,0.65085,0.99077,0.59255,1.12959,0.0091585,0.0091585,0.0091585
19,4030.82,1.03598,0.63342,1.10705,0.93389,0.90074,0.95837,0.65566,0.98578,0.58533,1.12645,0.009109,0.009109,0.009109
20,4241.49,1.01803,0.62715,1.09909,0.92694,0.91075,0.96049,0.66336,0.97736,0.58853,1.12633,0.0090595,0.0090595,0.0090595
21,4452.32,1.01487,0.62122,1.09845,0.93775,0.90308,0.96013,0.66185,0.97347,0.57265,1.12437,0.00901,0.00901,0.00901
22,4663.15,1.00873,0.61677,1.09368,0.93675,0.9058,0.9631,0.66347,0.97104,0.57775,1.12619,0.0089605,0.0089605,0.0089605
23,4873.9,1.00764,0.6136,1.09436,0.93887,0.90336,0.96362,0.67022,0.95799,0.55979,1.11463,0.008911,0.008911,0.008911
24,5084.62,1.01045,0.61279,1.09385,0.93866,0.89877,0.96266,0.66413,0.97119,0.56687,1.12154,0.0088615,0.0088615,0.0088615
25,5295.21,1.00073,0.6021,1.0897,0.934,0.91548,0.96537,0.66902,0.96516,0.56394,1.12075,0.008812,0.008812,0.008812
26,226.506,0.9921,0.59917,1.09034,0.93965,0.91015,0.96617,0.66963,0.94729,0.5511,1.11969,0.0087625,0.0087625,0.0087625
27,436.42,0.98344,0.597,1.08185,0.94279,0.90936,0.96844,0.677,0.95599,0.54979,1.11354,0.008713,0.008713,0.008713
28,646.926,0.98045,0.59737,1.08284,0.94128,0.9064,0.96745,0.67895,0.95105,0.55176,1.11631,0.0086635,0.0086635,0.0086635
29,296.86,0.92762,0.56177,1.06099,0.94385,0.90474,0.96646,0.67492,0.94696,0.54849,1.12501,0.008614,0.008614,0.008614
30,583.358,0.91917,0.55978,1.05337,0.93757,0.91811,0.96734,0.67741,0.95366,0.54271,1.12063,0.0085645,0.0085645,0.0085645
31,876.486,0.9212,0.55979,1.05542,0.93512,0.91652,0.96621,0.67649,0.95308,0.55224,1.12454,0.008515,0.008515,0.008515
32,1171.01,0.96125,0.57888,1.07228,0.93604,0.91584,0.9683,0.67762,0.94754,0.55276,1.11971,0.0084655,0.0084655,0.0084655
33,1446.05,0.95823,0.57708,1.07289,0.93705,0.91927,0.96648,0.68161,0.93815,0.54174,1.11389,0.008416,0.008416,0.008416
